                    .;10/2024-09/2025;10/2025-09/2026;Minimum 10/2018-09/2021;Maximum 10/2018-09/2021
01.10.;96,09;76,31;80,12;98,34
02.10.;96,01;76,21;80,49;98,41
03.10.;96,07;76,20;80,49;98,46
04.10.;96,09;76,34;80,64;98,45
05.10.;96,16;76,40;80,95;98,53
06.10.;96,26;76,19;81,40;98,62
07.10.;96,36;76,08;81,80;98,63
08.10.;96,55;76,01;81,99;98,64
09.10.;96,77;76,01;82,14;98,64
10.10.;96,93;76,03;82,35;98,65
11.10.;96,95;76,08;82,74;98,66
12.10.;97,08;76,10;83,30;98,77
13.10.;97,20;75,92;83,94;98,93
14.10.;97,08;75,82;84,60;99,01
15.10.;97,07;75,67;85,05;99,06
16.10.;97,16;75,48;85,37;99,08
17.10.;97,25;75,43;85,67;99,09
18.10.;97,32;75,44;86,02;99,10
19.10.;97,52;75,47;86,35;99,20
20.10.;97,73;75,44;86,70;99,31
21.10.;97,77;75,41;87,06;99,33
22.10.;97,78;75,37;87,23;99,34
23.10.;97,76;75,39;87,44;99,34
24.10.;97,77;75,34;87,66;99,35
25.10.;97,82;75,34;87,79;99,39
26.10.;97,92;75,33;87,84;99,53
27.10.;98,03;75,15;87,91;99,62
28.10.;98,04;75,15;87,90;99,59
29.10.;98,04;75,05;87,72;99,52
30.10.;98,04;74,97;87,71;99,41
31.10.;98,06;74,94;87,68;99,26
01.11.;98,19;75,13;87,75;99,21
02.11.;98,27;75,23;87,78;99,37
03.11.;98,31;75,24;87,81;99,53
04.11.;98,15;75,31;87,87;99,60
05.11.;97,93;75,32;87,84;99,57
06.11.;97,65;75,15;87,83;99,50
07.11.;97,28;74,96;87,86;99,56
08.11.;97,00;74,88;87,80;99,55
09.11.;96,86;74,83;87,78;99,61
10.11.;96,75;74,66;87,89;99,61
11.11.;96,52;74,67;88,04;99,54
12.11.;96,17;74,71;88,11;99,45
13.11.;95,72;74,72;88,10;99,32
14.11.;95,44;74,68;88,02;99,26
15.11.;95,22;74,66;87,92;99,21
16.11.;95,16;74,62;87,66;99,23
17.11.;95,11;74,30;87,47;99,25
18.11.;94,77;73,68;87,29;99,21
19.11.;94,42;73,16;86,90;99,11
20.11.;93,97;72,47;86,46;98,92
21.11.;93,43;71,69;85,81;98,69
22.11.;92,84;71,15;85,26;98,64
