name,code,url,updatedAt,gasDayStart,gasDayEnd,gasInStorage,consumption,consumptionFull,injection,withdrawal,netWithdrawal,workingGasVolume,injectionCapacity,withdrawalCapacity,contractedCapacity,availableCapacity,coveredCapacity,status,trend,full
Germany,DE,DE,2026-02-28 17:05:15,2026-02-28,2026-03-01,51.8445,903.9000,5.74,296.38,125.2,-171.2,251.1442,4258,7086.73,207.9013,44.0267,100,E,0.07,20.64
Germany,DE,DE,2026-02-28 17:05:15,2026-02-27,2026-02-28,51.6733,903.9000,5.72,296.38,125.2,-171.2,251.1442,4258,7086.73,207.9013,44.0267,100,E,0.08,20.58
Germany,DE,DE,2026-02-28 16:30:21,2026-02-26,2026-02-27,51.4601,903.9000,5.69,238.65,196.2,-42.4,251.1442,4258,7086.73,207.9013,44.0267,100,E,0.04,20.49
Germany,DE,DE,2026-02-28 16:25:20,2026-02-25,2026-02-26,51.349,903.9000,5.68,73.45,267.3,193.9,251.1442,4258,7086.73,207.3467,44.0267,100,C,-0.06,20.45
Germany,DE,DE,2026-02-28 16:20:52,2026-02-24,2026-02-25,51.5008,903.9000,5.7,30.68,467.6,436.9,251.1442,4258,7086.73,207.3467,44.0267,100,C,-0.15,20.51
Germany,DE,DE,2026-02-27 16:25:03,2026-02-23,2026-02-24,51.8789,903.9000,5.74,142.07,300.8,158.7,251.1442,4258,7086.73,207.3467,44.0267,100,C,-0.06,20.66
Germany,DE,DE,2026-02-27 11:29:48,2026-02-22,2026-02-23,52.0233,903.9000,5.76,734.91,209.4,-525.5,251.1437,4258,7086.73,207.3467,44.0267,100,C,0.22,20.71
Germany,DE,DE,2026-02-25 16:25:03,2026-02-21,2026-02-22,51.4829,903.9000,5.7,152.96,469.8,316.8,251.1437,4258,7086.73,207.3467,44.0267,100,C,-0.12,20.5
Germany,DE,DE,2026-02-24 16:25:02,2026-02-20,2026-02-21,51.7899,903.9000,5.73,34.18,1088.9,1054.7,251.1437,4258,7086.73,207.3467,44.0267,100,C,-0.42,20.62
Germany,DE,DE,2026-02-23 16:25:03,2026-02-19,2026-02-20,52.8428,903.9000,5.85,17.15,1446.7,1429.5,251.1437,4258,7086.73,207.3467,44.0267,100,C,-0.57,21.04
Germany,DE,DE,2026-02-23 14:43:24,2026-02-18,2026-02-19,54.2704,903.9000,6,29.29,1747.4,1718.1,251.1437,4258,7086.73,207.3467,44.0267,100,C,-0.69,21.61
